,Frame Drive,Perfect Feeling,Swinging George,Lazy Blaze,Mystical Jazz,Our Boy Roy,Wonderwoman Jujon,Vermont,Tactfilly Miracle
15-12-2022 14:54:05.893176,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:06.973056,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:08.004858,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:09.156380,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:10.274197,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:11.359986,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:12.467358,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:13.502703,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:14.636461,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:15.909160,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:16.951435,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
15-12-2022 14:54:18.060494,"(3.6, 5.2, 4.616666666666667)","(4.8, 7.6, 5.92)","(16.0, 28.0, 19.0)","(101.0, 260.0, 230.83333333333334)","(8.5, 16.0, 13.0)","(26.0, 48.0, 32.0)","(2.6, 3.4, 3.0700000000000003)","(5.5, 9.2, 6.9799999999999995)","(21.0, 40.0, 26.0)"
